lat,lon,risk,day,tier
40.525000000000006,-103.05833330000002,0.00030845790454007104,2021-07-22,Top 20%
40.98333333333334,-108.39166663333334,0.00030631629104494617,2021-07-22,Top 20%
39.85833333333334,-105.05833330000002,0.0003037772602411453,2021-07-22,Top 20%
38.69166666666667,-103.68333330000002,0.00030250014088911795,2021-07-22,Top 20%
38.275000000000006,-104.22499996666667,0.00029597757263980645,2021-07-22,Top 20%
40.525000000000006,-102.89166663333334,0.00028940068732013466,2021-07-22,Top 20%
40.19166666666667,-104.47499996666667,0.00028940068732013466,2021-07-22,Top 20%
40.06666666666667,-102.47499996666667,0.0002881033666897545,2021-07-22,Top 20%
40.775000000000006,-103.55833330000002,0.00028267122398247603,2021-07-22,Top 20%
40.06666666666667,-106.55833330000002,0.0002806960431725734,2021-07-22,Top 20%
38.31666666666667,-108.18333330000002,0.0002792615662068647,2021-07-22,Top 20%
37.150000000000006,-102.26666663333334,0.0002787916954367888,2021-07-22,Top 20%
38.23333333333334,-103.59999996666667,0.00027538736256218534,2021-07-22,Top 20%
39.94166666666667,-102.26666663333334,0.0002736975785000645,2021-07-22,Top 20%
38.025000000000006,-103.72499996666667,0.00025837278911181125,2021-07-22,Top 20%
40.48333333333334,-107.39166663333334,0.00025705364859162207,2021-07-22,Top 20%
37.98333333333334,-102.89166663333334,0.0002496466352056343,2021-07-22,Top 20%
37.81666666666667,-102.72499996666667,0.0002496466352056343,2021-07-22,Top 20%
37.900000000000006,-103.26666663333334,0.0002453738484492089,2021-07-22,Top 20%
40.31666666666667,-104.47499996666667,0.00396765279233885,2021-07-23,Top 5%
40.19166666666667,-106.59999996666667,0.0021799887289122837,2021-07-23,Top 10%
40.400000000000006,-105.18333330000002,0.0021347619805208093,2021-07-23,Top 10%
40.275000000000006,-104.97499996666667,0.0019742890237748,2021-07-23,Top 10%
38.150000000000006,-103.80833330000002,0.0019325671205682319,2021-07-23,Top 10%
38.025000000000006,-103.51666663333334,0.0019325671205682319,2021-07-23,Top 10%
